# Generated: 2026-09-05
汉语,にほんご,한국어,English,Français,Deutsch,Italiano,Español,Português,Nederlands,Русский язык,Tiếng Việt,ภาษาไทย,Kiswahili,हिन्दी,Türkçe,العربية,ελληνικά,Latīna,संस्कृतम्,Esperanto
实体,エンティティ/実体/实体,엔티티/실체,Entity,entité,Entität,entità,entidad,entidade,entiteit,сущность,thực thể,เอนทิตี,huluki,इकाई,varlık,كيان,οντότητα,entitas,अस्तित्वम्,ento
万物,ばんぶつ/万物,만물,All things,toutes choses,alle Dinge,ogni cosa,todas las cosas,todas as coisas,alle dingen,все вещи,vạn vật,สรรพสิ่ง,vyote,सभी वस्तुएँ,her şey,كل شيء,πάντα,omnia,sarvāṇi,ĉio
事物,もの/モノ/物,사물,Thing,chose,Ding,cosa,cosa,coisa,ding,вещь,vật,สิ่งของ,kitu,चीज़,şey,شيء,πράγμα,res,vastu,aĵo
物质,ぶっしつ/物質,물질,Matter,matière,Materie,materia,materia,matéria,materie,материя,vật chất,สสาร,mada,पदार्थ,madde,مادة,ύλη,materia,द्रव्यम्,materio
生物,せいぶつ/生物,생물,Organism,organisme,Organismus,organismo,organismo,organismo,organisme,организм,sinh vật,สิ่งมีชีวิต,kiumbe,जीव,organizma,كائن حي,οργανισμός,organismus,जीवः,organismo
动物,どうぶつ/動物,동물,Animal,animal,Tier,animale,animal,animal,dier,животное,động vật,สัตว์,mnyama,जानवर,hayvan,حيوان,ζώο,animal,पशुः,besto
脊索动物,せきさくどうぶつ/脊索動物,척삭동물,Chordate,chordé,Chordatier,cordato,cordado,cordado,chordadier,хордовое,động vật có dây sống,สัตว์มีแกนสันหลัง,mnyama mwenye notokodi,कशेरुकी रज्जुकी,kordalı,حبليات,χορδωτό,chordatum,पृष्ठवंशी,ĥordulo
哺乳纲,ほにゅうこう/哺乳綱,포유강,Mammalia,mammifères,Säugetiere,mammiferi,mamíferos,mamíferos,zoogdieren,млекопитающие,động vật có vú,สัตว์เลี้ยงลูกด้วยนม,mamalia,स्तनधारी,memeliler,ثدييات,θηλαστικά,mammalia,स्तनधारिणः,mamuloj
灵长目,れいちょうもく/霊長目,영장목,Primates,primates,Primaten,primati,primates,primatas,primaten,приматы,bộ Linh trưởng,อันดับวานร,primati,प्राइमेट,primatlar,رئيسيات,πρωτεύοντα,primates,प्राइमेट्स,primatoj
人科,じんか/人科,사람과,Hominidae,hominidés,Menschenaffen,ominidi,homínidos,hominídeos,mensachtigen,гоминиды,họ Người,วงศ์ลิงใหญ่,hominoidea,मानव कुल,insansılar,أشباه البشر,ανθρωπίδες,hominidae,मानवकुलम्,homedoj
人属,じんぞく/人属,사람속,Homo,Homo,Homo,Homo,Homo,Homo,Homo,Люди,chi Homo,สกุลโฮโม,Homo,होमो,Homo,هومو,Χόμο,Homo,होमो,Homo
